"ASCL1"	"NEUROD1"	"POU2F3"	"YAP1"
"Sample_14_SS_18_2698"	0.723009972424101	1.2041583448679	-0.578946728525264	-0.772068162636322
"Sample_12_SS_18_4268"	-0.0550162865465478	-0.382990630688968	-0.570171761657204	1.62472586677457
"Sample_26_SB_20_5744"	0.27526122475626	-1.07661577290707	-0.591773943477747	1.26121365910049
"X27_sb_19_5484"	0.255484104110227	0.504767320571576	1.95378515422484	1.12897302299565
"sb_19_6002"	-0.0589853148795719	0.727212334066769	-0.286113073665796	-0.0344243252613769
"Sample_35_SB_18_6513"	-0.0507826687201805	1.73454734138057	-0.593454284677962	0.536728253036022
"CL0191_T1R_T"	0.810912606949132	0.711257129644521	-0.552177463834408	-0.560665820506327
"Sample_2_WS_18_051587"	1.17971863700715	-1.29498416168842	-0.426164791454448	0.436986411589412
"Sample_41_CN20_33_A1_B1"	-0.799401900573569	1.0058541192082	0.803003092288903	0.00319539345995449
"Sample_39_S18_11654"	-1.18756074128035	1.29174348604658	-0.625221709008292	-0.897930274965351
"Sample_28_SB_20_399"	0.071664949586449	0.864693287456342	-0.394881197101799	-0.831678597817968
"Sample_48_ASP19_05374"	-1.85123912734935	-0.926310426727707	2.72981299312045	-0.301676752595463
"Sample_49_NC_20_182_A1"	1.17582397143045	-1.11251476738652	-0.622199374960782	-1.72420590281854
"X16_sb_19_5365"	0.297286378955577	0.485830894587704	1.62095143686578	0.878796716526265
"Sample_45_RA_023_11"	0.310547969898089	-0.22627532928122	-0.625881223964176	-0.722252886719521
"Sample_39_SF_20_216_A1"	-0.879824945001993	0.0932940783209306	0.719173302595178	-0.676809252882123
"Sample_47_WS_20_4104"	0.453910268653335	-0.456997288082317	-0.470939972570386	0.0415497476456173
"Sample_41_RS_20_1704"	-1.7171705565017	-0.362637662187556	-0.435999410267316	1.3768961076465
"Sample_25_SB_20_5907"	-1.0568008036608	-0.366950226462339	1.66709960483316	-1.47979305751762
"Sample_23_SB_20_788"	-1.65661648455154	-1.43364828967742	-0.588594646081978	1.72548493139345
"Sample_34_SB_18_7364"	1.20786484633941	-0.0567961219909071	-0.517244352567215	-0.803094812843644
"Sample_10_SS_18_5516"	1.75800404998398	-1.33858525826807	-0.624059378496894	-0.991962558321341
"Sample_11_SS_18_5261"	0.932771437789929	-1.21513718318785	-0.49806143709966	1.01994042982983
"Sample_1_WS20_3053"	-0.138861588818485	1.62708478238528	-0.491940834516985	-0.237928135112146
